r,g,b,lang_code,chatgpt,gemini
205,0,255,en,purple,Magenta
0,255,110,en,green,Lime green
0,255,163,en,green,Turquoise
0,178,255,en,blue,Deep Sky Blue
0,54,255,en,blue,Blue
172,255,0,en,lime,Lime green
255,0,211,en,magenta,Magenta
255,0,109,en,pink,Hot pink
0,254,255,en,cyan,Cyan
255,36,0,en,red,Red
222,0,255,en,magenta,Magenta
0,255,127,en,green,Spring green
0,120,255,en,blue,Blue
211,255,0,en,lime,Chartreuse
23,255,0,en,green,Neon green
255,0,130,en,pink,Fuchsia
93,0,255,en,purple,Violet
96,0,255,en,purple,Blue Violet
221,255,0,en,yellow,Neon yellow
0,255,164,en,green,Cyan
255,152,0,en,orange,Orange
6,255,0,en,green,Green
0,144,255,en,blue,Blue
255,0,109,en,pink,Hot pink
131,0,255,en,purple,Purple
255,0,177,en,magenta,Magenta
255,34,0,en,red,Red
0,255,244,en,cyan,Cyan
0,255,144,en,green,Spring green
0,255,186,en,turquoise,Cyan
0,255,87,en,green,Neon green
22,0,255,en,blue,Blue
181,0,255,en,purple,Purple
93,0,255,en,purple,Violet
255,0,72,en,red,Magenta
99,0,255,en,purple,Violet
0,37,255,en,blue,Blue
255,0,33,en,red,Red
235,255,0,en,yellow,Yellow
255,96,0,en,orange,Orange
0,255,235,en,turquoise,Cyan
0,95,255,en,blue,Blue
0,255,121,en,green,Spring green
0,185,255,en,blue,Deep Sky Blue
29,0,255,en,blue,Blue
255,24,0,en,red,Red
0,16,255,en,blue,Blue
0,131,255,en,blue,Blue
0,125,255,en,blue,Azure
115,0,255,en,purple,Violet
0,255,195,en,turquoise,Cyan
11,0,255,en,blue,Blue
147,255,0,en,lime,Lime green
255,81,0,en,orange,Orange
255,0,187,en,magenta,Pink
255,0,79,en,red,Hot pink
198,0,255,en,purple,Magenta
0,255,75,en,green,Lime green
0,255,6,en,lime,Green
95,255,0,en,lime,Lime green
0,28,255,en,blue,Blue
0,255,137,en,green,Spring green
255,167,0,en,orange,Orange
90,0,255,en,purple,Violet
0,120,255,en,blue,Blue
254,255,0,en,yellow,Yellow
107,0,255,en,purple,Purple
0,255,164,en,green,Turquoise
35,0,255,en,blue,Blue
34,255,0,en,green,Lime green
255,0,59,en,red,Cerise
70,255,0,en,green,Green
0,255,250,en,cyan,Cyan
255,0,64,en,red,Fuchsia
255,214,0,en,yellow,Yellow
255,0,66,en,red,Magenta
161,255,0,en,lime,Lime green
0,33,255,en,blue,Blue
255,0,170,en,magenta,Magenta
255,151,0,en,orange,Orange
0,255,0,en,green,Lime green
39,255,0,en,green,Lime Green
255,198,0,en,yellow,Yellow
146,255,0,en,lime green,Lime green
255,188,0,en,yellow,Amber
0,255,199,en,turquoise,Cyan
41,255,0,en,green,Lime green
9,0,255,en,blue,Blue
255,0,73,en,pink,Hot pink
83,255,0,en,green,Lime green
0,255,168,en,green,Spring Green
0,19,255,en,blue,Blue
174,0,255,en,purple,Purple
159,255,0,en,lime,Lime green
255,0,231,en,magenta,Magenta
255,137,0,en,orange,Orange
29,0,255,en,blue,Blue
226,255,0,en,yellow,Fluorescent yellow
0,255,142,en,green,Sea Green
161,0,255,en,purple,Purple
